imageidx;x;y;z;gt_id
109;-2.8902135422832;-0.9315129755349726;5.221408540752868;0
110;-2.8708246031151097;-0.9037319062311301;4.216677558365495;0
111;-2.8808611711475165;-0.8682789715942585;3.3048609370994653;0
571;5.244083968303022;-1.1777526749350409;14.511959206721981;1
572;4.87537213762752;-1.1281571696486916;13.888188001455354;1
573;4.603447907979229;-1.1509350267489362;13.24082153555099;1
574;4.324784966231161;-1.2114078092464609;12.734219584412036;1
578;3.774815269026216;-1.4562427179491544;9.862201704668822;1
579;3.6861082703655748;-1.4765782617621082;9.123821365788718;1
580;3.634586962054936;-1.4947613481283175;8.37985093198871;1
581;3.5606869914161496;-1.4587064118418431;7.643360748758348;1
582;3.531262804781538;-1.2691013030181622;6.899004206451122;1
583;3.5037482226319687;-1.113076901080532;6.164145034380742;1
584;3.4749164479610526;-0.9989108550475227;5.4507629327690985;1
918;1.6228817312230797;-1.5645132722810209;12.225733775350273;2
919;1.6301756004754708;-1.5637346194867356;11.13875484056003;2
920;1.6777010825950276;-1.5943800690206713;10.141596581323839;2
922;1.752903168297455;-1.5858547727213057;8.142291271805874;2
924;1.7883008066702712;-1.5583559057627787;6.076220554168308;2
